DATE,ASPUS
1/1/1963," 19,300.00 "
4/1/1963," 19,400.00 "
7/1/1963," 19,200.00 "
10/1/1963," 19,600.00 "
1/1/1964," 19,600.00 "
4/1/1964," 20,200.00 "
7/1/1964," 20,500.00 "
10/1/1964," 20,900.00 "
1/1/1965," 21,500.00 "
4/1/1965," 21,000.00 "
7/1/1965," 21,600.00 "
10/1/1965," 21,700.00 "
1/1/1966," 22,700.00 "
4/1/1966," 23,200.00 "
7/1/1966," 23,000.00 "
10/1/1966," 22,800.00 "
1/1/1967," 24,000.00 "
4/1/1967," 24,200.00 "
7/1/1967," 23,900.00 "
10/1/1967," 24,400.00 "
1/1/1968," 25,400.00 "
4/1/1968," 26,700.00 "
7/1/1968," 26,600.00 "
10/1/1968," 27,000.00 "
1/1/1969," 27,600.00 "
4/1/1969," 28,100.00 "
7/1/1969," 28,100.00 "
10/1/1969," 27,100.00 "
1/1/1970," 27,000.00 "
4/1/1970," 27,300.00 "
7/1/1970," 26,000.00 "
10/1/1970," 26,300.00 "
1/1/1971," 27,300.00 "
4/1/1971," 28,600.00 "
7/1/1971," 28,300.00 "
10/1/1971," 28,200.00 "
1/1/1972," 29,000.00 "
4/1/1972," 29,400.00 "
7/1/1972," 30,300.00 "
10/1/1972," 31,600.00 "
1/1/1973," 32,800.00 "
4/1/1973," 35,100.00 "
7/1/1973," 35,900.00 "
10/1/1973," 36,600.00 "
1/1/1974," 38,000.00 "
4/1/1974," 38,600.00 "
7/1/1974," 39,000.00 "
10/1/1974," 39,300.00 "
1/1/1975," 40,900.00 "
4/1/1975," 42,600.00 "
7/1/1975," 42,200.00 "
10/1/1975," 44,400.00 "
1/1/1976," 46,000.00 "
4/1/1976," 47,800.00 "
7/1/1976," 48,100.00 "
10/1/1976," 50,300.00 "
1/1/1977," 51,600.00 "
4/1/1977," 54,300.00 "
7/1/1977," 54,000.00 "
10/1/1977," 57,500.00 "
1/1/1978," 59,300.00 "
4/1/1978," 61,600.00 "
7/1/1978," 63,500.00 "
10/1/1978," 66,400.00 "
1/1/1979," 68,300.00 "
4/1/1979," 72,400.00 "
7/1/1979," 74,200.00 "
10/1/1979," 72,700.00 "
1/1/1980," 73,600.00 "
4/1/1980," 74,400.00 "
7/1/1980," 77,500.00 "
10/1/1980," 80,000.00 "
1/1/1981," 80,900.00 "
4/1/1981," 84,300.00 "
7/1/1981," 83,800.00 "
10/1/1981," 83,700.00 "
1/1/1982," 81,200.00 "
4/1/1982," 85,700.00 "
7/1/1982," 83,900.00 "
10/1/1982," 84,600.00 "
1/1/1983," 86,700.00 "
4/1/1983," 89,100.00 "
7/1/1983," 92,500.00 "
10/1/1983," 90,800.00 "
1/1/1984," 94,700.00 "
4/1/1984," 99,200.00 "
7/1/1984," 98,500.00 "
10/1/1984," 97,800.00 "
1/1/1985," 98,500.00 "
4/1/1985," 100,500.00 "
7/1/1985," 100,500.00 "
10/1/1985," 103,800.00 "
1/1/1986," 106,300.00 "
4/1/1986," 112,000.00 "
7/1/1986," 114,400.00 "
10/1/1986," 115,600.00 "
1/1/1987," 120,800.00 "
4/1/1987," 126,100.00 "
7/1/1987," 129,900.00 "
10/1/1987," 133,500.00 "
1/1/1988," 137,900.00 "
4/1/1988," 134,800.00 "
